Local bytes written,COUNTERS,Combine output records,Combine input records,csource,capp,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,Reduce output records,TASK_STATUS,TASK_TYPE,Reduce input groups,Reduce input records
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451600,1307526042402,,task_201106081729_0001_r_000000, cluster="chukwa",255234,SUCCESS,REDUCE,255234,255234
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451610,1307526032828,,task_201106081729_0001_r_000001, cluster="chukwa",255512,SUCCESS,REDUCE,255512,255512
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451611,1307526085441,,task_201106081729_0001_r_000002, cluster="chukwa",256170,SUCCESS,REDUCE,256170,256170
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451624,1307526091559,,task_201106081729_0001_r_000003, cluster="chukwa",255246,SUCCESS,REDUCE,255246,255246
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452809,1307526066549,,task_201106081729_0001_r_000004, cluster="chukwa",255549,SUCCESS,REDUCE,255549,255549
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452826,1307525990788,,task_201106081729_0001_r_000005, cluster="chukwa",255560,SUCCESS,REDUCE,255560,255560
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452853,1307526088008,,task_201106081729_0001_r_000006, cluster="chukwa",255508,SUCCESS,REDUCE,255508,255508
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452902,1307526052546,,task_201106081729_0001_r_000007, cluster="chukwa",256059,SUCCESS,REDUCE,256059,256059
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525454624,1307525997273,,task_201106081729_0001_r_000008, cluster="chukwa",254784,SUCCESS,REDUCE,254784,254784
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525454632,1307525770989,,task_201106081729_0001_r_000009, cluster="chukwa",255848,SUCCESS,REDUCE,255848,255848
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525454862,1307526088555,,task_201106081729_0001_r_000010, cluster="chukwa",256463,SUCCESS,REDUCE,256463,256463
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455838,1307526066549,,task_201106081729_0001_r_000011, cluster="chukwa",255812,SUCCESS,REDUCE,255812,255812
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455845,1307525953483,,task_201106081729_0001_r_000012, cluster="chukwa",255717,SUCCESS,REDUCE,255717,255717
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455879,1307526069984,,task_201106081729_0001_r_000013, cluster="chukwa",256296,SUCCESS,REDUCE,256296,256296
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455931,1307526043534,,task_201106081729_0001_r_000014, cluster="chukwa",255167,SUCCESS,REDUCE,255167,255167
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525457649,1307526009356,,task_201106081729_0001_r_000015, cluster="chukwa",256271,SUCCESS,REDUCE,256271,256271
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525457654,1307525990715,,task_201106081729_0001_r_000016, cluster="chukwa",255635,SUCCESS,REDUCE,255635,255635
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525457887,1307526085552,,task_201106081729_0001_r_000017, cluster="chukwa",255594,SUCCESS,REDUCE,255594,255594
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525458891,1307526042516,,task_201106081729_0001_r_000018, cluster="chukwa",255024,SUCCESS,REDUCE,255024,255024
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525458949,1307526063973,,task_201106081729_0001_r_000019, cluster="chukwa",254795,SUCCESS,REDUCE,254795,254795
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525458973,1307526061635,,task_201106081729_0001_r_000020, cluster="chukwa",255702,SUCCESS,REDUCE,255702,255702
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525460695,1307526048410,,task_201106081729_0001_r_000021, cluster="chukwa",256443,SUCCESS,REDUCE,256443,256443
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525460698,1307526035832,,task_201106081729_0001_r_000022, cluster="chukwa",255867,SUCCESS,REDUCE,255867,255867
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525460802,1307526043322,,task_201106081729_0001_r_000023, cluster="chukwa",255839,SUCCESS,REDUCE,255839,255839
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525461910,1307526066550,,task_201106081729_0001_r_000024, cluster="chukwa",255171,SUCCESS,REDUCE,255171,255171
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525461976,1307526085004,,task_201106081729_0001_r_000025, cluster="chukwa",254898,SUCCESS,REDUCE,254898,254898
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525461991,1307526064639,,task_201106081729_0001_r_000026, cluster="chukwa",255572,SUCCESS,REDUCE,255572,255572
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525463716,1307526064368,,task_201106081729_0001_r_000027, cluster="chukwa",255602,SUCCESS,REDUCE,255602,255602
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525463834,1307526022294,,task_201106081729_0001_r_000028, cluster="chukwa",255113,SUCCESS,REDUCE,255113,255113
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525465474,1307526079499,,task_201106081729_0001_r_000029, cluster="chukwa",255033,SUCCESS,REDUCE,255033,255033
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525466751,1307526088444,,task_201106081729_0001_r_000030, cluster="chukwa",255641,SUCCESS,REDUCE,255641,255641
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525469763,1307526076429,,task_201106081729_0001_r_000031, cluster="chukwa",255518,SUCCESS,REDUCE,255518,255518
